gene	SRR5575407	SRR5575408	SRR5575409	SRR5575410	SRR5575413	SRR5575598	SRR5575599	SRR5575605	SRR5575606	SRR7716235	SRR7716244	SRR7716245	SRR7716246	SRR7716247
SRR5575407_k141_0_1	363.0	49.0	411.0	520.0	36.0	259.0	657.0	12.0	28.0	1664.0	625.0	152.0	229.0	211.0
SRR5575407_k141_0_2	200.0	24.0	240.0	278.0	17.0	124.0	313.0	11.0	13.0	898.0	387.0	111.0	150.0	94.0
SRR5575407_k141_100000_1	14.0	0.0	2.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	7.0	4.0
SRR5575407_k141_100001_1	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_100006_1	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_100006_2	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
SRR5575407_k141_100006_3	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_100008_1	66.0	0.0	16.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	12.0	17.0	50.0	2.0
SRR5575407_k141_100008_2	90.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	5.0	17.0	2.0
SRR5575407_k141_10000_11	2932.0	0.0	488.0	127.0	23.0	118.0	59.0	34.0	11.0	91.0	63.0	0.0	99.0	550.0
SRR5575407_k141_10000_12	1331.0	0.0	64.0	54.0	13.0	38.0	58.0	22.0	9.0	71.0	36.0	0.0	84.0	93.0
SRR5575407_k141_10000_13	1929.0	0.0	63.0	66.0	12.0	33.0	74.0	16.0	0.0	90.0	72.0	0.0	98.0	115.0
SRR5575407_k141_10000_14	810.0	0.0	24.0	26.0	4.0	9.0	20.0	14.0	3.0	245.0	26.0	0.0	23.0	74.0
SRR5575407_k141_10000_17	166.0	0.0	10.0	57.0	3.0	55.0	0.0	16.0	4.0	121.0	26.0	0.0	6.0	69.0
SRR5575407_k141_10000_8	1865.0	0.0	60.0	81.0	19.0	21.0	69.0	37.0	0.0	85.0	46.0	0.0	94.0	111.0
SRR5575407_k141_100014_1	40.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0
SRR5575407_k141_100014_10	123.0	0.0	11.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	15.0	0.0	0.0
SRR5575407_k141_100014_11	110.0	0.0	8.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	26.0	6.0	0.0
SRR5575407_k141_100014_12	42.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0
SRR5575407_k141_100014_13	39.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	10.0	2.0	0.0
SRR5575407_k141_100014_14	12.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
SRR5575407_k141_100014_2	95.0	0.0	2.0	2.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	16.0	0.0	0.0
