pathway_id	level1	level2	level3
ko00010	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
ko00020	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
ko00030	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
ko00040	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
ko00051	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
ko00052	Metabolism	Carbohydrate metabolism	Galactose metabolism
ko00053	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism
ko00061	Metabolism	Lipid metabolism	Fatty acid biosynthesis
ko00062	Metabolism	Lipid metabolism	Fatty acid elongation
ko00071	Metabolism	Lipid metabolism	Fatty acid degradation
ko00073	Metabolism	Lipid metabolism	Cutin, suberine and wax biosynthesis
ko00100	Metabolism	Lipid metabolism	Steroid biosynthesis
ko00120	Metabolism	Lipid metabolism	Primary bile acid biosynthesis
ko00121	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis
ko00130	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
ko00140	Metabolism	Lipid metabolism	Steroid hormone biosynthesis
ko00190	Metabolism	Energy metabolism	Oxidative phosphorylation
ko00195	Metabolism	Energy metabolism	Photosynthesis
ko00196	Metabolism	Energy metabolism	Photosynthesis - antenna proteins
ko00220	Metabolism	Amino acid metabolism	Arginine biosynthesis
ko00230	Metabolism	Nucleotide metabolism	Purine metabolism
ko00232	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
ko00240	Metabolism	Nucleotide metabolism	Pyrimidine metabolism
ko00250	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism
ko00253	Metabolism	Metabolism of terpenoids and polyketides	Tetracycline biosynthesis
ko00254	Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis
ko00260	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism
ko00261	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
ko00270	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism
ko00280	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation
ko00281	Metabolism	Metabolism of terpenoids and polyketides	Geraniol degradation
ko00290	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis
ko00300	Metabolism	Amino acid metabolism	Lysine biosynthesis
ko00310	Metabolism	Amino acid metabolism	Lysine degradation
ko00311	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
ko00330	Metabolism	Amino acid metabolism	Arginine and proline metabolism
ko00331	Metabolism	Biosynthesis of other secondary metabolites	Clavulanic acid biosynthesis
ko00332	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
ko00333	Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis
ko00340	Metabolism	Amino acid metabolism	Histidine metabolism
ko00350	Metabolism	Amino acid metabolism	Tyrosine metabolism
ko00360	Metabolism	Amino acid metabolism	Phenylalanine metabolism
ko00361	Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation
ko00362	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation
ko00363	Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation
ko00364	Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation
ko00365	Metabolism	Xenobiotics biodegradation and metabolism	Furfural degradation
ko00380	Metabolism	Amino acid metabolism	Tryptophan metabolism
ko00400	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
ko00401	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis
ko00402	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
